Mark,Competitor,DOB,Nat,Pos,Venue,Date,WIND
9.81,Usain BOLT,21 AUG 1986,JAM,1,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016,0.2
9.81,Christian COLEMAN,06 MAR 1996,USA,1,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,-0.1
9.81,Trayvon BROMELL,10 JUL 1995,USA,1sf2,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1.5
9.82,Maurice GREENE,23 JUL 1974,USA,1,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,-0.2
9.82,Asafa POWELL,23 NOV 1982,JAM,1f1,"Stade Louis II, Monaco (MON)",29 JUL 2008,0.0
9.82,Asafa POWELL,23 NOV 1982,JAM,1,Rieti (ITA),07 SEP 2008,1.4
9.82,Asafa POWELL,23 NOV 1982,JAM,1,Szczecin (POL),15 SEP 2009,1.4
9.82,Asafa POWELL,23 NOV 1982,JAM,1,"Stadio Olimpico, Roma (ITA)",10 JUN 2010,0.6
9.82,Usain BOLT,21 AUG 1986,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",08 JUL 2010,0.5
9.82,Yohan BLAKE,26 DEC 1989,JAM,1,"Letzigrund, Zürich (SUI)",08 SEP 2011,0.0
9.82,Yohan BLAKE,26 DEC 1989,JAM,1,"Olympiastadion, Berlin (GER)",11 SEP 2011,0.1
9.82,Usain BOLT,21 AUG 1986,JAM,1f1,"National Stadium, Kingston (JAM)",05 MAY 2012,1.8
9.82,Justin GATLIN,10 FEB 1982,USA,1sf1,"Olympic Stadium, London (GBR)",05 AUG 2012,0.7
9.82,Richard THOMPSON,07 JUN 1985,TTO,1f2,Port-of-Spain (TTO),21 JUN 2014,1.7
9.82,Justin GATLIN,10 FEB 1982,USA,1,Linz (AUT),14 JUL 2014,-0.1
9.82,Christian COLEMAN,06 MAR 1996,USA,1sf1,"Eugene, OR (USA)",07 JUN 2017,1.3
9.83,Asafa POWELL,23 NOV 1982,JAM,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 SEP 2007,-0.3
9.83,Usain BOLT,21 AUG 1986,JAM,1f1,"Letzigrund, Zürich (SUI)",29 AUG 2008,-0.5
9.83,Asafa POWELL,23 NOV 1982,JAM,2,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2008,-1.3
9.83,Asafa POWELL,23 NOV 1982,JAM,1,"Mestský Stadion, Ostrava (CZE)",27 MAY 2010,-0.5
9.83,Justin GATLIN,10 FEB 1982,USA,1f2,"Stadio Guidobaldi, Rieti (ITA)",07 SEP 2014,0.7
9.83,Justin GATLIN,10 FEB 1982,USA,1sf1,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1.7
9.83,Bingtian SU,29 AUG 1989,CHN,1sf3,"National Stadium, Tokyo (JPN)",01 AUG 2021,0.9
9.83,Ronnie BAKER,15 OCT 1993,USA,2sf3,"National Stadium, Tokyo (JPN)",01 AUG 2021,0.9
9.83,Fred KERLEY,07 MAY 1995,USA,1h2,"Hayward Field, Eugene, OR (USA)",23 JUN 2022,1.5
9.83,Zharnel HUGHES,13 JUL 1995,GBR,1,"Icahn Stadium, New York, NY (USA)",24 JUN 2023,1.3
9.84,Donovan BAILEY,16 DEC 1967,CAN,1,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996,0.7
9.84,Bruny SURIN,12 JUL 1967,CAN,2,"La Cartuja, Sevilla (ESP)",22 AUG 1999,0.2
9.84,Asafa POWELL,23 NOV 1982,JAM,1,Kingston (JAM),07 MAY 2005,1.8
9.84,Tyson GAY,09 AUG 1982,USA,2f1,Zürich (SUI),18 AUG 2006,1.0
9.84,Tyson GAY,09 AUG 1982,USA,1,"Indianapolis, IN (USA)",22 JUN 2007,-0.5
9.84,Asafa POWELL,23 NOV 1982,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,-0.3
9.84,Asafa POWELL,23 NOV 1982,JAM,3,"Olympiastadion, Berlin (GER)",16 AUG 2009,0.9
9.84,Usain BOLT,21 AUG 1986,JAM,1,"Stade de France, Paris-St-Denis (FRA)",16 JUL 2010,-0.3
9.84,Tyson GAY,09 AUG 1982,USA,1,"Olympiastadion, Stockholm (SWE)",06 AUG 2010,0.0
9.84,Yohan BLAKE,26 DEC 1989,JAM,1,George Town (CAY),09 MAY 2012,0.5
9.84,Asafa POWELL,23 NOV 1982,JAM,1f1,"National Stadium, Kingston (JAM)",09 MAY 2015,1.8
9.84,Trayvon BROMELL,10 JUL 1995,USA,1h4,"Hayward Field, Eugene, OR (USA)",25 JUN 2015,1.3
9.84,Asafa POWELL,23 NOV 1982,JAM,1,Kingston (JAM),26 JUN 2015,0.9
9.84,Trayvon BROMELL,10 JUL 1995,USA,2,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1.6
9.84,Akani SIMBINE,21 SEP 1993,RSA,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 JUL 2021,1.2
9.84,Fred KERLEY,07 MAY 1995,USA,2,"National Stadium, Tokyo (JPN)",01 AUG 2021,0.1
9.84,Lamont Marcell JACOBS,26 SEP 1994,ITA,3sf3,"National Stadium, Tokyo (JPN)",01 AUG 2021,0.9
9.84,Ferdinand OMANYALA,02 JAN 1996,KEN,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",13 MAY 2023,-0.5
9.85,Leroy BURRELL,21 FEB 1967,USA,1f3,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 1994,1.2
9.85,Maurice GREENE,23 JUL 1974,USA,1,"Stadio Olimpico, Roma (ITA)",07 JUL 1999,0.8
9.85,Justin GATLIN,10 FEB 1982,USA,1,"Olympic Stadium, Athina (GRE)",22 AUG 2004,0.6
9.85,Asafa POWELL,23 NOV 1982,JAM,1,Ostrava (CZE),09 JUN 2005,0.6
9.85,Olusoji Adetokunbo FASUBA,09 JUL 1984,NGR,1,Doha (QAT),12 MAY 2006,1.7
9.85,Asafa POWELL,23 NOV 1982,JAM,1f1,Paris (FRA),08 JUL 2006,0.1
9.85,Asafa POWELL,23 NOV 1982,JAM,1f1,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,0.5
9.85,Tyson GAY,09 AUG 1982,USA,1,"Yanmar Stadium Nagai, Osaka (JPN)",26 AUG 2007,-0.5
9.85,Tyson GAY,09 AUG 1982,USA,2f1,"Icahn Stadium, New York, NY (USA)",31 MAY 2008,1.7
9.85,Usain BOLT,21 AUG 1986,JAM,1,Kingston (JAM),28 JUN 2008,-0.1
9.85,Usain BOLT,21 AUG 1986,JAM,1sf1,"National Stadium, Beijing (CHN)",16 AUG 2008,-0.1
9.85,Asafa POWELL,23 NOV 1982,JAM,2,Shanghai (CHN),20 SEP 2009,2.0
9.85,Nesta CARTER,11 OCT 1985,JAM,2,"Boudewijnstadion, Bruxelles (BEL)",27 AUG 2010,0.1
9.85,Michael RODGERS,24 APR 1985,USA,2,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1.3
9.85,Richard THOMPSON,07 JUN 1985,TTO,1,Port-of-Spain (TTO),13 AUG 2011,1.0
9.85,Usain BOLT,21 AUG 1986,JAM,1,"Sports Park Mladost, Zagreb (CRO)",13 SEP 2011,0.1
9.85,Asafa POWELL,23 NOV 1982,JAM,2,"Bislett Stadion, Oslo (NOR)",07 JUN 2012,0.6
9.85,Yohan BLAKE,26 DEC 1989,JAM,1f1,Luzern (SUI),17 JUL 2012,1.6
9.85,Yohan BLAKE,26 DEC 1989,JAM,1sf3,"Olympic Stadium, London (GBR)",05 AUG 2012,1.7
9.85,Usain BOLT,21 AUG 1986,JAM,1f1,"Olympic Stadium, London (GBR)",26 JUL 2013,0.2
9.85,Justin GATLIN,10 FEB 1982,USA,2,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,-0.3
9.85,Christian COLEMAN,06 MAR 1996,USA,1,"Bislett Stadion, Oslo (NOR)",13 JUN 2019,0.9
9.85,Marvin BRACY,15 DEC 1993,USA,2f2,"Ansin Sports Complex, Miramar, FL (USA)",05 JUN 2021,1.5
9.85,Ronnie BAKER,15 OCT 1993,USA,2,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,0.8
9.85,Marvin BRACY,15 DEC 1993,USA,1,"Christian Brothers HS, Memphis, TN (USA)",15 AUG 2021,-0.4
9.85,Ferdinand OMANYALA,02 JAN 1996,KEN,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",07 MAY 2022,2.0
9.85,Marvin BRACY-WILLIAMS,15 DEC 1993,USA,2,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1.8
9.85,Yohan BLAKE,26 DEC 1989,JAM,1,"National Stadium, Kingston (JAM)",24 JUN 2022,1.0
9.86,Carl LEWIS,01 JUL 1961,USA,1,"National Stadium, Tokyo (JPN)",25 AUG 1991,1.2
9.86,Frank FREDERICKS,02 OCT 1967,NAM,1f1,Lausanne (SUI),03 JUL 1996,-0.4
9.86,Maurice GREENE,23 JUL 1974,USA,1,"Olympic Stadium, Athina (GRE)",03 AUG 1997,0.2
9.86,Ato BOLDON,30 DEC 1973,TTO,1,"Walnut, CA (USA)",19 APR 1998,1.8
9.86,Ato BOLDON,30 DEC 1973,TTO,1,Athina (GRE),17 JUN 1998,-0.4
9.86,Ato BOLDON,30 DEC 1973,TTO,2f3,Athina (GRE),16 JUN 1999,0.1
9.86,Ato BOLDON,30 DEC 1973,TTO,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1999,0.4
9.86,Maurice GREENE,23 JUL 1974,USA,1,"Olympiastadion, Berlin (GER)",01 SEP 2000,-0.2
9.86,Francis OBIKWELU,22 NOV 1978,POR,2,"Olympic Stadium, Athina (GRE)",22 AUG 2004,0.6
9.86,Asafa POWELL,23 NOV 1982,JAM,1f1,Stockholm (SWE),25 JUL 2006,0.2
9.86,Asafa POWELL,23 NOV 1982,JAM,1,"Olympiastadion, Berlin (GER)",03 SEP 2006,-0.5
9.86,Usain BOLT,21 AUG 1986,JAM,1,Kingston (JAM),27 JUN 2009,-0.2
9.86,Usain BOLT,21 AUG 1986,JAM,1,Daegu (KOR),19 MAY 2010,0.1
9.86,Nesta CARTER,11 OCT 1985,JAM,1f2,Luzern (SUI),08 AUG 2010,1.0
9.86,Asafa POWELL,23 NOV 1982,JAM,1,"Puskás Ferenc Stadion, Budapest (HUN)",30 JUL 2011,2.0
9.86,Keston BLEDMAN,08 MAR 1988,TTO,1f2,Port-of-Spain (TTO),23 JUN 2012,1.4
9.86,Tyson GAY,09 AUG 1982,USA,2,"Hayward Field, Eugene, OR (USA)",24 JUN 2012,1.8
9.86,Usain BOLT,21 AUG 1986,JAM,2,Kingston (JAM),29 JUN 2012,1.1
9.86,Usain BOLT,21 AUG 1986,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",07 SEP 2012,0.3
9.86,Justin GATLIN,10 FEB 1982,USA,1,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014,-0.4
9.86,Keston BLEDMAN,08 MAR 1988,TTO,1f2,Port-of-Spain (TTO),27 JUN 2015,1.1
9.86,Jimmy VICAUT,27 FEB 1992,FRA,2,Paris (FRA),04 JUL 2015,1.3
9.86,Michael RODGERS,24 APR 1985,USA,2sf2,"National Stadium, Beijing (CHN)",23 AUG 2015,0.9
9.86,Jimmy VICAUT,27 FEB 1992,FRA,1,Montreuil-sous-Bois (FRA),07 JUN 2016,1.8
9.86,Trayvon BROMELL,10 JUL 1995,USA,1sf2,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,2.0
9.86,Usain BOLT,21 AUG 1986,JAM,1sf2,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016,0.2
9.86,Noah LYLES,18 JUL 1997,USA,1,"Shanghai Stadium, Shanghai (CHN)",18 MAY 2019,0.9
9.86,Christian COLEMAN,06 MAR 1996,USA,2,"Shanghai Stadium, Shanghai (CHN)",18 MAY 2019,0.9
9.86,Divine ODUDURU,07 OCT 1996,NGR,1,"Austin, TX (USA)",07 JUN 2019,0.8
9.86,Michael NORMAN,03 DEC 1997,USA,1f3,"AP Ranch, Fort Worth, TX (USA)",20 JUL 2020,1.6
9.86,Fred KERLEY,07 MAY 1995,USA,3,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,0.8
9.86,Ferdinand OMANYALA,02 JAN 1996,KEN,1f1,"Pramtalstadion, Andorf (AUT)",14 AUG 2021,0.6
9.86,Marvin BRACY,15 DEC 1993,USA,1,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021,0.8
9.86,Oblique SEVILLE,16 MAR 2001,JAM,1,"National Stadium, Kingston (JAM)",21 MAY 2022,0.2
9.86,Micah WILLIAMS,12 NOV 2001,USA,1h2,"John McDonnell Field, Fayetteville, AR (USA)",27 MAY 2022,0.7
9.86,Marvin BRACY-WILLIAMS,15 DEC 1993,USA,2sf2,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1.5
9.86,Fred KERLEY,07 MAY 1995,USA,1,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,-0.1
9.87,Linford CHRISTIE,02 APR 1960,GBR,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,0.3
9.87,Frank FREDERICKS,02 OCT 1967,NAM,1,Helsinki (FIN),25 JUN 1996,1.9
9.87,Ato BOLDON,30 DEC 1973,TTO,1qf1,"Olympic Stadium, Athina (GRE)",02 AUG 1997,1.3
9.87,Obadele THOMPSON,30 MAR 1976,BAR,1,"SGJ, Johannesburg (RSA)",11 SEP 1998,-0.2
9.87,Maurice GREENE,23 JUL 1974,USA,1,Stockholm (SWE),30 JUL 1999,0.6
9.87,Maurice GREENE,23 JUL 1974,USA,1,"Olympic Stadium, Sydney (AUS)",23 SEP 2000,-0.3
9.87,Maurice GREENE,23 JUL 1974,USA,3,"Olympic Stadium, Athina (GRE)",22 AUG 2004,0.6
9.87,Asafa POWELL,23 NOV 1982,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,0.2
9.87,Asafa POWELL,23 NOV 1982,JAM,1,"International Stadium, Gateshead (GBR)",31 AUG 2008,0.7
9.87,Asafa POWELL,23 NOV 1982,JAM,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",13 SEP 2008,0.4
9.87,Justin GATLIN,10 FEB 1982,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",11 MAY 2012,0.4
9.87,Usain BOLT,21 AUG 1986,JAM,1sf2,"Olympic Stadium, London (GBR)",05 AUG 2012,1.0
9.87,Nesta CARTER,11 OCT 1985,JAM,1f1,"Moratalaz, Madrid (ESP)",13 JUL 2013,1.8
9.87,Justin GATLIN,10 FEB 1982,USA,1,Beijing (CHN),21 MAY 2014,0.0
9.87,Asafa POWELL,23 NOV 1982,JAM,1f4,"Austin, TX (USA)",23 AUG 2014,1.6
9.87,Tyson GAY,09 AUG 1982,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2015,0.0
9.87,Asafa POWELL,23 NOV 1982,JAM,1f1,Luzern (SUI),14 JUL 2015,0.0
9.87,Asafa POWELL,23 NOV 1982,JAM,1f1,Bellinzona (SUI),21 JUL 2015,0.0
9.87,Usain BOLT,21 AUG 1986,JAM,1,"Olympic Stadium, London (GBR)",24 JUL 2015,-0.8
9.87,Usain BOLT,21 AUG 1986,JAM,1h2,"Olympic Stadium, London (GBR)",24 JUL 2015,-1.2
9.87,Ronnie BAKER,15 OCT 1993,USA,1,"Stadion Śląski, Chorzów (POL)",22 AUG 2018,-0.1
9.87,Justin GATLIN,10 FEB 1982,USA,2,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,-0.1
9.87,Fred KERLEY,07 MAY 1995,USA,1,"Letzigrund, Zürich (SUI)",09 SEP 2021,-0.4
9.87,Christian COLEMAN,06 MAR 1996,USA,3sf2,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1.5
9.88,Leroy BURRELL,21 FEB 1967,USA,2,"National Stadium, Tokyo (JPN)",25 AUG 1991,1.2
9.88,Ato BOLDON,30 DEC 1973,TTO,1,Kuala Lumpur (MAS),17 SEP 1998,-0.1
9.88,Ato BOLDON,30 DEC 1973,TTO,1,Oslo (NOR),13 JUL 2001,2.0
9.88,Shawn CRAWFORD,14 JAN 1978,USA,1,"Eugene, OR (USA)",19 JUN 2004,1.8
9.88,Justin GATLIN,10 FEB 1982,USA,1,"Olympiastadion, Helsinki (FIN)",07 AUG 2005,0.4
9.88,Tyson GAY,09 AUG 1982,USA,1,Rethymno (GRE),21 JUL 2006,2.0
9.88,Tyson GAY,09 AUG 1982,USA,1,"Olympic Stadium, Athina (GRE)",16 SEP 2006,1.1
9.88,Asafa POWELL,23 NOV 1982,JAM,1f1,Stockholm (SWE),22 JUL 2008,0.4
9.88,Asafa POWELL,23 NOV 1982,JAM,2,"Stadio Olimpico, Roma (ITA)",10 JUL 2009,0.4
9.88,Asafa POWELL,23 NOV 1982,JAM,2,"Letzigrund, Zürich (SUI)",28 AUG 2009,0.0
9.88,Tyson GAY,09 AUG 1982,USA,1,Thessaloniki (GRE),12 SEP 2009,-0.2
9.88,Asafa POWELL,23 NOV 1982,JAM,1h2,"Mestský Stadion, Ostrava (CZE)",27 MAY 2010,1.2
9.88,Walter DIX,31 JAN 1986,USA,2f2,Luzern (SUI),08 AUG 2010,1.0
9.88,Ryan BAILEY,13 APR 1989,USA,2,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010,0.9
9.88,Michael FRATER,06 OCT 1982,JAM,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2011,1.0
9.88,Usain BOLT,21 AUG 1986,JAM,1,"Stade Louis II, Monaco (MON)",22 JUL 2011,1.0
9.88,Asafa POWELL,23 NOV 1982,JAM,2,"Suhaim bin Hamad Stadium, Doha (QAT)",11 MAY 2012,0.4
9.88,Asafa POWELL,23 NOV 1982,JAM,3,Kingston (JAM),29 JUN 2012,1.1
9.88,Ryan BAILEY,13 APR 1989,USA,1h3,"Olympic Stadium, London (GBR)",04 AUG 2012,1.5
9.88,Ryan BAILEY,13 APR 1989,USA,4,"Olympic Stadium, London (GBR)",05 AUG 2012,1.5
9.88,Tyson GAY,09 AUG 1982,USA,1,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1.5
9.88,Michael RODGERS,24 APR 1985,USA,1,"Moratalaz, Madrid (ESP)",11 JUL 2015,1.4
9.88,Usain BOLT,21 AUG 1986,JAM,1f1,Kingston (JAM),11 JUN 2016,1.0
9.88,Jimmy VICAUT,27 FEB 1992,FRA,1,Angers (FRA),25 JUN 2016,1.9
9.88,Noah LYLES,18 JUL 1997,USA,1,"Drake Stadium, Des Moines, IA (USA)",22 JUN 2018,1.1
9.88,Ronnie BAKER,15 OCT 1993,USA,1,"Stade Charléty, Paris (FRA)",30 JUN 2018,0.8
9.88,Christian COLEMAN,06 MAR 1996,USA,1sf1,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,-0.3
9.88,Trayvon BROMELL,10 JUL 1995,USA,1,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",30 APR 2021,1.5
9.88,Ronnie BAKER,15 OCT 1993,USA,1h4,"Hayward Field, Eugene, OR (USA)",19 JUN 2021,1.9
9.88,Trayvon BROMELL,10 JUL 1995,USA,3,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1.8
9.88,Oblique SEVILLE,16 MAR 2001,JAM,2,"National Stadium, Kingston (JAM)",24 JUN 2022,1.0
9.88,Marvin BRACY-WILLIAMS,15 DEC 1993,USA,2,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,-0.1
9.88,Trayvon BROMELL,10 JUL 1995,USA,3,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,-0.1
9.88,Fred KERLEY,07 MAY 1995,USA,1h1,"International Stadium, Yokohama (JPN)",21 MAY 2023,1.5
9.89,Frank FREDERICKS,02 OCT 1967,NAM,2,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996,0.7
9.89,Ato BOLDON,30 DEC 1973,TTO,1,"Modesto, CA (USA)",10 MAY 1997,0.8
9.89,Bruny SURIN,12 JUL 1967,CAN,1,Montréal (CAN),01 AUG 1998,1.5
9.89,Maurice GREENE,23 JUL 1974,USA,1f1,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,0.9
9.89,Shawn CRAWFORD,14 JAN 1978,USA,1qf2,"Olympic Stadium, Athina (GRE)",21 AUG 2004,0.0
9.89,Shawn CRAWFORD,14 JAN 1978,USA,4,"Olympic Stadium, Athina (GRE)",22 AUG 2004,0.6
