Mark,Competitor,DOB,Nat,Pos,Venue,Date
7:28.00,Yomif KEJELCHA,01 AUG 1997,ETH,1f1,Göteborg (SWE),18 AUG 2018
7:28.02,Stewart MCSWEYN,01 JUN 1995,AUS,3,"Stadio Olimpico, Roma (ITA)",17 SEP 2020
7:28.04,Moses KIPTANUI,01 OCT 1970,KEN,1,Köln (GER),18 AUG 1995
7:28.19,Yomif KEJELCHA,01 AUG 1997,ETH,1,Paris (FRA),27 AUG 2016
7:28.28,Luke KIPKOSGEI,27 NOV 1975,KEN,2,"Bislett Stadion, Oslo (NOR)",09 JUL 1998
7:28.28,James Kwalia C'KURUI,12 JUN 1984,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004
7:28.37,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Doha (QAT),08 MAY 2009
7:28.41,Paul BITOK,26 JUN 1970,KEN,3,Monaco (MON),10 AUG 1996
7:28.45,Assefa MEZGEBU,19 JUN 1978,ETH,3,"Stade Louis II, Monaco (MON)",08 AUG 1998
7:28.48,Grant FISHER,22 APR 1997,USA,3,"Stade Louis II, Monaco (MON)",10 AUG 2022
7:28.56,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Doha (QAT),13 MAY 2005
7:28.64,Kenenisa BEKELE,13 JUN 1982,ETH,1,Paris-St-Denis (FRA),17 JUL 2009
7:28.67,Benjamin LIMO,23 AUG 1974,KEN,1,"Stade Louis II, Monaco (MON)",04 AUG 1999
7:28.70,Paul TERGAT,17 JUN 1969,KEN,4,Monaco (MON),10 AUG 1996
7:28.70,Tariku BEKELE,28 FEB 1987,ETH,1,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010
7:28.72,Isaac Kiprono SONGOK,25 APR 1984,KEN,1,Rieti (ITA),27 AUG 2006
7:28.73,Ronald KWEMOI,19 SEP 1995,KEN,1,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2017
7:28.76,Augustine Kiprono CHOGE,21 JAN 1987,KEN,4,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011
7:28.78,Augustine Kiprono CHOGE,21 JAN 1987,KEN,2,Doha (QAT),13 MAY 2005
7:28.82,Yenew ALAMIREW,27 MAY 1990,ETH,1,Milano (ITA),09 SEP 2010
7:28.92,Daniel KOMEN,17 MAY 1976,KEN,3,"Stade Louis II, Monaco (MON)",18 AUG 2000
7:28.93,Salah HISSOU,16 JAN 1972,MAR,2,"Stade Louis II, Monaco (MON)",04 AUG 1999
7:28.94,Brahim LAHLAFI,15 APR 1968,MAR,3,"Stade Louis II, Monaco (MON)",04 AUG 1999
7:28.94,Stewart MCSWEYN,01 JUN 1995,AUS,2,"International Stadium, Gateshead (GBR)",13 JUL 2021
7:28.96,Moses KIPTANUI,01 OCT 1970,KEN,1,Köln (GER),16 AUG 1992
7:28.98,Isaac Kiprono SONGOK,25 APR 1984,KEN,1,Doha (QAT),12 MAY 2006
7:28.99,Tariku BEKELE,28 FEB 1987,ETH,1,"Olympiastadion, Berlin (GER)",22 AUG 2010
7:29.00,Bernard LAGAT,12 DEC 1974,USA,2,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010
7:29.09,John Kemboi KIBOWEN,21 APR 1969,KEN,3,"Bislett Stadion, Oslo (NOR)",09 JUL 1998
7:29.11,Tariku BEKELE,28 FEB 1987,ETH,2,Rieti (ITA),27 AUG 2006
7:29.23,Brahim LAHLAFI,15 APR 1968,MAR,4,"Stade Louis II, Monaco (MON)",08 AUG 1998
7:29.24,Noureddine MORCELI,28 FEB 1970,ALG,1,"Stade Louis II, Monaco (MON)",07 AUG 1993
7:29.25,Brahim LAHLAFI,15 APR 1968,MAR,4,"Stade Louis II, Monaco (MON)",18 AUG 2000
7:29.32,Kenenisa BEKELE,13 JUN 1982,ETH,1,"Stade Louis II, Monaco (MON)",25 JUL 2007
7:29.34,Isaac VICIOSA,26 DEC 1969,ESP,4,"Bislett Stadion, Oslo (NOR)",09 JUL 1998
7:29.36,Noureddine MORCELI,28 FEB 1970,ALG,1,Rieti (ITA),05 SEP 1995
7:29.43,Daniel KOMEN,17 MAY 1976,KEN,4,"Stade Louis II, Monaco (MON)",04 AUG 1999
7:29.45,Saïd AOUITA,02 NOV 1959,MAR,1,Köln (GER),20 AUG 1989
7:29.48,Domnic Lokinyomo LOBALU,16 AUG 1998,SSD,1,"Olympiastadion, Stockholm (SWE)",30 JUN 2022
7:29.55,Paul BITOK,26 JUN 1970,KEN,1,Oslo (NOR),05 JUL 1996
7:29.55,Jacob KIPLIMO,14 NOV 2000,UGA,2,"Olympiastadion, Stockholm (SWE)",30 JUN 2022
7:29.60,Benjamin LIMO,23 AUG 1974,KEN,3,Doha (QAT),13 MAY 2005
7:29.7h,Haile GEBRSELASSIE,18 APR 1973,ETH,,"Crystal Palace, London (GBR)",07 AUG 1999
7:29.74,Augustine Kiprono CHOGE,21 JAN 1987,KEN,2,Doha (QAT),12 MAY 2006
7:29.75,Edwin Cheruiyot SOI,03 MAR 1986,KEN,3,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010
7:29.92,Sileshi SIHINE,29 JAN 1983,ETH,1,Rieti (ITA),28 AUG 2005
7:29.95,Moses KIPTANUI,01 OCT 1970,KEN,5,Monaco (MON),10 AUG 1996
7:30.07,Jacob KROP,04 JUN 2001,KEN,2,"Bislett Stadion, Oslo (NOR)",01 JUL 2021
7:30.09,Ismail SGHYR,16 MAR 1972,MAR,2,"Stade Louis II, Monaco (MON)",25 JUL 1995
7:30.09,Thomas Pkemei LONGOSIWA,14 JAN 1982,KEN,2,Doha (QAT),08 MAY 2009
7:30.09,Abdelaati IGUIDER,25 MAR 1987,MAR,2,Paris (FRA),27 AUG 2016
7:30.14,Isaac Kiprono SONGOK,25 APR 1984,KEN,1,"FBK Stadium, Hengelo (NED)",29 MAY 2005
7:30.15,Vincent Kiprop CHEPKOK,05 JUL 1988,KEN,5,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011
7:30.23,Paul BITOK,26 JUN 1970,KEN,1,"Stade Louis II, Monaco (MON)",16 AUG 1997
7:30.23,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Torino (ITA),06 JUN 2003
7:30.26,Tom NYARIKI,27 SEP 1971,KEN,5,"Stade Louis II, Monaco (MON)",08 AUG 1998
7:30.36,Mark CARROLL,15 JAN 1972,IRL,5,"Stade Louis II, Monaco (MON)",04 AUG 1999
7:30.36,Hagos GEBRHIWET,11 MAY 1994,ETH,1,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2013
7:30.42,Augustine Kiprono CHOGE,21 JAN 1987,KEN,1,"Suhaim bin Hamad Stadium, Doha (QAT)",11 MAY 2012
7:30.43,Isiah Kiplangat KOECH,19 DEC 1993,KEN,1,"Olympiastadion, Stockholm (SWE)",17 AUG 2012
7:30.45,Hagos GEBRHIWET,11 MAY 1994,ETH,3,Paris (FRA),27 AUG 2016
7:30.46,Salah HISSOU,16 JAN 1972,MAR,2,Oslo (NOR),05 JUL 1996
7:30.48,Eliud KIPCHOGE,05 NOV 1984,KEN,3,Doha (QAT),12 MAY 2006
7:30.49,Daniel KOMEN,17 MAY 1976,KEN,1,Oslo (NOR),04 JUL 1997
7:30.50,Dieter BAUMANN,09 FEB 1965,GER,6,"Stade Louis II, Monaco (MON)",08 AUG 1998
7:30.53,El Hassan LAHSSINI,01 JAN 1975,MAR,6,Monaco (MON),10 AUG 1996
7:30.53,Hailu MEKONNEN,04 APR 1980,ETH,1,Bruxelles (BEL),24 AUG 2001
7:30.56,Eliud KIPCHOGE,05 NOV 1984,KEN,2,"FBK Stadium, Hengelo (NED)",29 MAY 2005
7:30.58,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Nice (FRA),17 JUL 1999
7:30.62,Daniel KOMEN,17 MAY 1976,KEN,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1999
7:30.62,Boniface Kiprotich SONGOK,25 DEC 1980,KEN,3,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004
7:30.67,Kenenisa BEKELE,13 JUN 1982,ETH,2,Bruxelles (BEL),24 AUG 2001
7:30.76,Ali SAIDI-SIEF,15 MAR 1978,ALG,1,"Olympiastadion, Berlin (GER)",01 SEP 2000
7:30.76,Jamal Bilal SALEM,12 SEP 1978,QAT,4,Doha (QAT),13 MAY 2005
7:30.78,Mustapha ESSAÏD,20 JAN 1970,FRA,7,"Stade Louis II, Monaco (MON)",08 AUG 1998
7:30.79,Ali SAIDI-SIEF,15 MAR 1978,ALG,1,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2003
7:30.82,Moses KIPTANUI,01 OCT 1970,KEN,5,"Bislett Stadion, Oslo (NOR)",09 JUL 1998
7:30.84,Bob KENNEDY,18 AUG 1970,USA,8,"Stade Louis II, Monaco (MON)",08 AUG 1998
7:30.91,Eliud KIPCHOGE,05 NOV 1984,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2003
7:30.93,Ryan HILL,31 JAN 1990,USA,4,Paris (FRA),27 AUG 2016
7:30.94,Tom NYARIKI,27 SEP 1971,KEN,2,"Stade Louis II, Monaco (MON)",16 AUG 1997
7:30.95,Moses Ndiema KIPSIRO,02 SEP 1986,UGA,1,"Stade Louis II, Monaco (MON)",28 JUL 2009
7:30.96,Muktar EDRIS,14 JAN 1994,ETH,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 JUL 2021
7:30.99,Khalid BOULAMI,07 AUG 1969,MAR,1,Nice (FRA),16 JUL 1997
7:30.99,Caleb Mwangangi NDIKU,09 OCT 1992,KEN,2,"Olympiastadion, Stockholm (SWE)",17 AUG 2012
7:31.00,Paul BITOK,26 JUN 1970,KEN,3,Bruxelles (BEL),24 AUG 2001
7:31.13,Julius GITAHI,29 APR 1978,KEN,6,"Bislett Stadion, Oslo (NOR)",09 JUL 1998
7:31.14,William KALYA,04 AUG 1974,KEN,3,"Stade Louis II, Monaco (MON)",16 AUG 1997
7:31.19,Nicholas KIPKORIR,29 SEP 1998,KEN,4,"Stade Louis II, Monaco (MON)",10 AUG 2022
7:31.20,Joseph Kitur KIPLIMO,20 JUL 1988,KEN,1,Rieti (ITA),06 SEP 2009
7:31.26,Cornelius KEMBOI,29 FEB 2000,KEN,3,"Olympiastadion, Stockholm (SWE)",30 JUN 2022
7:31.32,Daniel KOMEN,17 MAY 1976,KEN,1,Lausanne (SUI),03 JUL 1996
7:31.33,Boniface Kiprotich SONGOK,25 DEC 1980,KEN,3,Rieti (ITA),27 AUG 2006
7:31.33,Nicholas KIPKORIR,29 SEP 1998,KEN,3,"Bislett Stadion, Oslo (NOR)",01 JUL 2021
7:31.40,Eliud KIPCHOGE,05 NOV 1984,KEN,2,"Suhaim bin Hamad Stadium, Doha (QAT)",11 MAY 2012
7:31.41,Sammy Alex MUTAHI,01 JUN 1989,KEN,2,Rieti (ITA),06 SEP 2009
7:31.41,Vincent Kiprop CHEPKOK,05 JUL 1988,KEN,2,"Olympiastadion, Berlin (GER)",22 AUG 2010
7:31.41,Daniel Kipchirchir KOMEN,27 NOV 1984,KEN,6,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011
7:31.47,Daniel KOMEN,17 MAY 1976,KEN,2,Paris (FRA),23 JUN 2000
7:31.48,Edwin Cheruiyot SOI,03 MAR 1986,KEN,3,Rieti (ITA),06 SEP 2009
7:31.49,Tom NYARIKI,27 SEP 1971,KEN,2,Nice (FRA),16 JUL 1997
7:31.50,Edwin Cheruiyot SOI,03 MAR 1986,KEN,3,Doha (QAT),08 MAY 2009
7:31.54,Domnic Lokinyomo LOBALU,16 AUG 1998,SSD,5,"Stade Louis II, Monaco (MON)",10 AUG 2022
7:31.57,Paul CHELIMO,27 OCT 1990,USA,2,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2017
7:31.58,John Kemboi KIBOWEN,21 APR 1969,KEN,4,Bruxelles (BEL),24 AUG 2001
7:31.59,Manuel PANCORBO,07 JUL 1966,ESP,7,"Bislett Stadion, Oslo (NOR)",09 JUL 1998
7:31.65,Khalid BOULAMI,07 AUG 1969,MAR,2,Bruxelles (BEL),23 AUG 1996
7:31.66,Caleb Mwangangi NDIKU,09 OCT 1992,KEN,1,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014
7:31.68,Yusuf Kibet BIWOTT,12 NOV 1986,KEN,1,"Mestský Stadion, Ostrava (CZE)",27 MAY 2010
7:31.69,Bob KENNEDY,18 AUG 1970,USA,3,Bruxelles (BEL),23 AUG 1996
7:31.77,Bob KENNEDY,18 AUG 1970,USA,2,Oslo (NOR),04 JUL 1997
7:31.78,Manuel PANCORBO,07 JUL 1966,ESP,3,Oslo (NOR),04 JUL 1997
7:31.78,Paul BITOK,26 JUN 1970,KEN,3,Nice (FRA),16 JUL 1997
7:31.81,Dieter BAUMANN,09 FEB 1965,GER,4,Oslo (NOR),04 JUL 1997
7:31.81,Abraham CHERKOS,23 SEP 1989,ETH,4,Rieti (ITA),06 SEP 2009
7:31.83,Edwin Cheruiyot SOI,03 MAR 1986,KEN,1,Rieti (ITA),07 SEP 2008
7:31.83,Moses Ndiema KIPSIRO,02 SEP 1986,UGA,7,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011
7:31.84,Edwin Cheruiyot SOI,03 MAR 1986,KEN,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006
7:31.88,Moses Ndiema KIPSIRO,02 SEP 1986,UGA,3,"Suhaim bin Hamad Stadium, Doha (QAT)",11 MAY 2012
7:31.93,Stewart MCSWEYN,01 JUN 1995,AUS,4,"Olympiastadion, Stockholm (SWE)",30 JUN 2022
7:31.94,Kenenisa BEKELE,13 JUN 1982,ETH,1,"International Stadium, Gateshead (GBR)",31 AUG 2008
7:31.96,Daniel KOMEN,17 MAY 1976,KEN,1,Athina (GRE),28 JUN 2000
7:31.98,Brahim LAHLAFI,15 APR 1968,MAR,2,"Olympiastadion, Berlin (GER)",01 SEP 2000
7:31.98,Daniel Kipchirchir KOMEN,27 NOV 1984,KEN,3,"FBK Stadium, Hengelo (NED)",29 MAY 2005
7:32.01,John Kemboi KIBOWEN,21 APR 1969,KEN,3,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2003
7:32.01,Augustine Kiprono CHOGE,21 JAN 1987,KEN,1,Doha (QAT),09 MAY 2008
7:32.01,Thomas Pkemei LONGOSIWA,14 JAN 1982,KEN,2,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2013
7:32.02,Albert ROP,17 JUL 1992,BRN,5,Paris (FRA),27 AUG 2016
7:32.03,Moses Ndiema KIPSIRO,02 SEP 1986,UGA,2,"Stade Louis II, Monaco (MON)",25 JUL 2007
7:32.05,Paul BITOK,26 JUN 1970,KEN,1,Nice (FRA),10 JUL 1996
7:32.1h,Henry RONO,12 FEB 1952,KEN,1,Oslo (NOR),27 JUN 1978
7:32.11,Paul BITOK,26 JUN 1970,KEN,1,"Stade Louis II, Monaco (MON)",20 JUL 2001
7:32.13,Salah HISSOU,16 JAN 1972,MAR,4,Nice (FRA),16 JUL 1997
7:32.13,El Hassan LAHSSINI,01 JAN 1975,MAR,6,"Stade Louis II, Monaco (MON)",04 AUG 1999
7:32.13,Edwin Cheruiyot SOI,03 MAR 1986,KEN,2,Doha (QAT),09 MAY 2008
7:32.13,Bernard LAGAT,12 DEC 1974,USA,1,"Stadio Guidobaldi, Rieti (ITA)",10 SEP 2011
7:32.16,John Kemboi CHERUIYOT,05 JUL 1990,KEN,2,"Mestský Stadion, Ostrava (CZE)",27 MAY 2010
7:32.17,Selemon BAREGA,20 JAN 2000,ETH,1,"Bislett Stadion, Oslo (NOR)",13 JUN 2019
7:32.19,Craig MOTTRAM,18 JUN 1980,AUS,1,"Olympic Stadium, Athina (GRE)",17 SEP 2006
7:32.23,Saïd AOUITA,02 NOV 1959,MAR,1,Köln (GER),17 AUG 1986
7:32.23,Richard LIMO,18 NOV 1980,KEN,5,Bruxelles (BEL),24 AUG 2001
7:32.25,Silas KIPRUTO,26 SEP 1984,KEN,5,Rieti (ITA),06 SEP 2009
7:32.27,Ismail SGHYR,16 MAR 1972,MAR,5,Nice (FRA),16 JUL 1997
7:32.27,Luke KIPKOSGEI,27 NOV 1975,KEN,2,Bruxelles (BEL),28 AUG 1998
7:32.27,Yomif KEJELCHA,01 AUG 1997,ETH,3,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2017
7:32.31,Muktar EDRIS,14 JAN 1994,ETH,1,"Stade Charléty, Paris (FRA)",01 JUL 2017
7:32.32,Enrique MOLINA,25 FEB 1968,ESP,5,Oslo (NOR),04 JUL 1997
7:32.36,Million WOLDE,17 MAR 1979,ETH,3,Paris (FRA),23 JUN 2000
7:32.36,Benjamin MAIYO,06 OCT 1978,KEN,2,Athina (GRE),28 JUN 2000
7:32.36,Abderrahim GOUMRI,21 MAY 1976,MAR,6,Bruxelles (BEL),24 AUG 2001
7:32.37,Abraham CHERKOS,23 SEP 1989,ETH,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006
7:32.38,Abiyote ABATE,20 NOV 1980,ETH,7,Bruxelles (BEL),24 AUG 2001
7:32.38,Vincent Kiprop CHEPKOK,05 JUL 1988,KEN,2,"Stadio Guidobaldi, Rieti (ITA)",10 SEP 2011
7:32.42,Moses Ndiema KIPSIRO,02 SEP 1986,UGA,3,Doha (QAT),09 MAY 2008
7:32.43,Isiah Kiplangat KOECH,19 DEC 1993,KEN,4,"Suhaim bin Hamad Stadium, Doha (QAT)",11 MAY 2012
7:32.44,El Hassan LAHSSINI,01 JAN 1975,MAR,4,Bruxelles (BEL),23 AUG 1996
7:32.46,Saif Saaeed SHAHEEN,15 OCT 1982,QAT,4,Doha (QAT),08 MAY 2009
7:32.48,Bethwell BIRGEN,06 AUG 1988,KEN,6,Paris (FRA),27 AUG 2016
7:32.49,Alistair Ian CRAGG,13 JUN 1980,IRL,3,"Stade Louis II, Monaco (MON)",25 JUL 2007
7:32.49,Bernard LAGAT,12 DEC 1974,USA,3,"Mestský Stadion, Ostrava (CZE)",27 MAY 2010
7:32.52,Silas KIPRUTO,26 SEP 1984,KEN,2,"Stade Louis II, Monaco (MON)",28 JUL 2009
7:32.54,Saïd AOUITA,02 NOV 1959,MAR,1,"Letzigrund, Zürich (SUI)",13 AUG 1986
7:32.55,Brahim LAHLAFI,15 APR 1968,MAR,1,Lille (FRA),11 JUL 1998
7:32.55,Daniel KOMEN,17 MAY 1976,KEN,1,Paris (FRA),29 JUL 1998
7:32.55,Bob KENNEDY,18 AUG 1970,USA,7,"Stade Louis II, Monaco (MON)",04 AUG 1999
7:32.56,Khalid BOULAMI,07 AUG 1969,MAR,2,Nice (FRA),10 JUL 1996
7:32.57,Isaac Kiprono SONGOK,25 APR 1984,KEN,6,Rieti (ITA),06 SEP 2009
7:32.59,Kenenisa BEKELE,13 JUN 1982,ETH,1,Zürich (SUI),19 AUG 2005
7:32.61,Paul BITOK,26 JUN 1970,KEN,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2001
7:32.62,Mo FARAH,23 MAR 1983,GBR,1,"Alexander Stadium, Birmingham (GBR)",05 JUN 2016
7:32.64,Yenew ALAMIREW,27 MAY 1990,ETH,3,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2013
7:32.65,Mohammed MOURHIT,10 OCT 1970,BEL,8,"Stade Louis II, Monaco (MON)",04 AUG 1999
7:32.68,Luke KIPKOSGEI,27 NOV 1975,KEN,2,"Stade Louis II, Monaco (MON)",20 JUL 2001
7:32.71,Thomas Pkemei LONGOSIWA,14 JAN 1982,KEN,3,"Stadio Guidobaldi, Rieti (ITA)",10 SEP 2011
7:32.72,Daniel KOMEN,17 MAY 1976,KEN,1,Stuttgart (GER),06 JUN 1999
7:32.72,John KIPKOECH,29 DEC 1991,KEN,4,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010
7:32.79,David MOORCROFT,10 APR 1953,GBR,1,London (GBR),17 JUL 1982
7:32.79,Thomas Pkemei LONGOSIWA,14 JAN 1982,KEN,1,"Stadio Guidobaldi, Rieti (ITA)",09 SEP 2007
7:32.84,Craig MOTTRAM,18 JUN 1980,AUS,1,Naimette-Xhovémont (BEL),19 JUL 2006
7:32.88,Ronald KWEMOI,19 SEP 1995,KEN,2,"Stade Charléty, Paris (FRA)",01 JUL 2017
7:32.89,Ismail SGHYR,16 MAR 1972,MAR,3,Nice (FRA),10 JUL 1996
7:32.91,Daniel Kipchirchir KOMEN,27 NOV 1984,KEN,5,Doha (QAT),08 MAY 2009
7:32.93,Deresse MEKONNEN,20 OCT 1987,ETH,7,Rieti (ITA),06 SEP 2009
7:32.93,Yomif KEJELCHA,01 AUG 1997,ETH,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018
7:32.94,Saïd AOUITA,02 NOV 1959,MAR,1,Bruxelles (BEL),30 AUG 1985
7:32.97,Mark Kosgei KIPTOO,21 JUN 1976,KEN,6,Doha (QAT),08 MAY 2009
7:33.00,Hailu MEKONNEN,04 APR 1980,ETH,2,Stuttgart (GER),06 JUN 1999
7:33.01,Levi Omari MATEBO,03 NOV 1989,KEN,2,Rieti (ITA),07 SEP 2008
7:33.02,Sammy Alex MUTAHI,01 JUN 1989,KEN,3,"Stade Louis II, Monaco (MON)",28 JUL 2009
7:33.05,Birhanu BALEW,27 FEB 1996,BRN,4,"Bislett Stadion, Oslo (NOR)",01 JUL 2021
7:33.06,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Doha (QAT),11 MAY 2007
7:33.06,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2021
7:33.07,Bob KENNEDY,18 AUG 1970,USA,4,"Stade Louis II, Monaco (MON)",16 AUG 1997
7:33.10,Benjamin LIMO,23 AUG 1974,KEN,3,"Stade Louis II, Monaco (MON)",20 JUL 2001
7:33.13,Shem KORORIA,25 SEP 1972,KEN,7,Monaco (MON),10 AUG 1996
7:33.13,Benjamin LIMO,23 AUG 1974,KEN,4,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2003
7:33.14,Eliud KIPCHOGE,05 NOV 1984,KEN,4,Doha (QAT),09 MAY 2008
7:33.15,Enrique MOLINA,25 FEB 1968,ESP,6,Nice (FRA),16 JUL 1997
7:33.15,Bernard LAGAT,12 DEC 1974,USA,2,Paris-St-Denis (FRA),17 JUL 2009
7:33.18,Bouabdellah TAHRI,20 DEC 1978,FRA,4,"Stade Louis II, Monaco (MON)",28 JUL 2009
7:33.20,Luke KIPKOSGEI,27 NOV 1975,KEN,2,Paris (FRA),29 JUL 1998
7:33.20,Paul TERGAT,17 JUN 1969,KEN,9,"Stade Louis II, Monaco (MON)",08 AUG 1998
7:33.21,Edwin Cheruiyot SOI,03 MAR 1986,KEN,3,"Olympiastadion, Berlin (GER)",22 AUG 2010
7:33.23,Daniel KOMEN,17 MAY 1976,KEN,1,"Stade de France, Paris-St-Denis (FRA)",21 JUL 1999
7:33.24,Joshua CHEPTEGEI,12 SEP 1996,UGA,1,"Mestský Stadion, Ostrava (CZE)",19 MAY 2021
7:33.26,Joshua CHEPTEGEI,12 SEP 1996,UGA,2,"Bislett Stadion, Oslo (NOR)",13 JUN 2019
7:33.27,Leonard Patrick KOMON,10 JAN 1988,KEN,8,Rieti (ITA),06 SEP 2009
7:33.28,Paul BITOK,26 JUN 1970,KEN,2,Köln (GER),16 AUG 1992
7:33.28,Muktar EDRIS,14 JAN 1994,ETH,7,Paris (FRA),27 AUG 2016
